name,code,category,unit,mrp_price,selling_price,gst_rate,cess_rate,reorder_level,danger_level,min_stock,max_stock,tags,composition,hsn_code,hsn_id,schedule,manufacturer
Atorvastatin 772,MED77180,Laxative,Cream,162.93,131.15,12,0,63,25,205,4215,"generic,prescription",Atorvastatin 10mg + Excipients,30032000,5308,None,Sun Pharma
Hydroxychloroquine 966,MED45357,Antacid,Ointment,306.62,266.65,28,0,182,34,324,2466,branded,Hydroxychloroquine 250mg + Excipients,30049000,1168,None,Alkem
Metformin 854mg,MED70299,Antifungal,Patch,148.05,120.84,18,0,92,43,178,1903,"generic,essential",Metformin 20mg + Excipients,30031000,4174,None,GSK India
Budesonide 800ml,MED63762,Supplement,Ointment,336.87,302.6,18,0,137,26,154,4759,"essential,otc",Budesonide 5mg + Excipients,30039000,7058,C,Cipla
Losartan 821,MED84514,Antacid,Inhaler,60.4,49.75,5,0,189,21,222,4346,otc,Losartan 5mg + Excipients,30032000,6260,C,Sun Pharma
Amoxicillin 257,MED48708,Antimalarial,Syrup,237.17,209.99,18,0,85,38,124,3657,"generic,branded,essential",Amoxicillin 100mg + Excipients,30033100,4448,X,Pfizer India
Ribavirin 240mg,MED39593,Otic,Ointment,37.77,31.87,5,0,134,12,225,3769,"generic,prescription,branded",Ribavirin 500mg + Excipients,30041000,8680,H,Dr. Reddys
Folic Acid 312,MED84422,Antimalarial,Capsule,375.9,322.93,18,0,84,11,218,1276,otc,Folic 20mg + Excipients,30049000,8151,C,Lupin
Glecaprevir 315,MED51081,Analgesic,Gel,438.35,391.86,28,1,184,50,325,2956,"generic,otc",Glecaprevir 250mg + Excipients,30043100,5342,H1,Merck India
Primaquine 155,MED41427,Antihistamine,Injection,297.54,261.03,28,2,117,29,224,3283,"generic,prescription,branded",Primaquine 10mg + Excipients,30044000,8828,X,Bayer India
Bictegravir 155mg,MED75562,Mineral,Inhaler,142.31,119.39,12,0,158,32,252,3520,otc,Bictegravir 20mg + Excipients,30043900,9052,H,GSK India
Metformin 558,MED95872,Antidiabetic,Injection,357.27,337.54,18,0,65,26,329,4410,"branded,generic,essential",Metformin 250mg + Excipients,30033900,1998,X,Torrent
Montelukast 619mg,MED49318,Nasal,Ointment,64.74,53.81,18,0,198,47,422,4643,"generic,branded",Montelukast 5mg + Excipients,30033900,8406,H1,Bayer India
Atazanavir 274ml,MED71812,Ophthalmic,Cream,387.18,363.63,28,1,74,21,240,1807,"branded,otc",Atazanavir 100mg + Excipients,30032000,5762,H,Lupin
Insulin 307mg,MED77047,Antacid,Drops,349.16,301.72,5,0,163,23,185,2611,branded,Insulin 100mg + Excipients,30033900,2131,H,Lupin
Diazepam 305mg,MED11342,Antihypertensive,Patch,445.18,393.05,18,0,51,30,414,2864,"otc,prescription,branded",Diazepam 20mg + Excipients,30044000,2031,H1,Lupin
Acyclovir 323ml,MED63990,Antimalarial,Ointment,198.9,166.84,12,0,54,33,137,2995,branded,Acyclovir 20mg + Excipients,30042000,7500,H1,Johnson & Johnson India
Montelukast 574,MED14786,Ophthalmic,Syrup,149.86,126.11,5,0,198,21,399,3076,"essential,prescription,otc",Montelukast 5mg + Excipients,30033100,4882,H1,Cipla
Ranitidine 133,MED87936,Antihypertensive,Capsule,341.04,301.69,12,0,82,42,434,4239,"essential,prescription,branded",Ranitidine 5mg + Excipients,30034000,6783,C,Merck India
Levocetirizine 495mg,MED21622,Antimalarial,Tablet,384.05,329.0,12,0,119,45,116,2506,prescription,Levocetirizine 100mg + Excipients,30034000,2907,C,Cipla
Iron 678mg,MED20396,Nasal,Ointment,494.95,433.13,12,0,179,28,316,4156,otc,Iron 250mg + Excipients,30031000,3715,H1,AstraZeneca India
Mebendazole 859,MED97523,Antimalarial,Gel,27.01,22.8,18,0,152,10,334,2089,"prescription,essential",Mebendazole 100mg + Excipients,30043900,4056,C,GSK India
Doxycycline 226,MED62880,Antiparasitic,Patch,195.89,161.21,28,2,82,30,234,3675,branded,Doxycycline 100mg + Excipients,30034000,1393,C,Merck India
Lopinavir 829ml,MED83953,Otic,Patch,444.75,416.39,18,0,187,28,380,3573,"prescription,otc",Lopinavir 10mg + Excipients,30041000,4029,None,Aurobindo
Primaquine 720ml,MED42687,Antihypertensive,Syrup,235.04,217.01,28,2,81,42,270,2230,"branded,otc",Primaquine 500mg + Excipients,30044000,4227,H,Sun Pharma
Thyroxine 910ml,MED21420,Antimalarial,Patch,110.74,91.2,28,1,116,37,438,3091,otc,Thyroxine 5mg + Excipients,30034000,8282,H,Abbott India
Nasal Spray 216,MED48962,Antidepressant,Ointment,161.07,146.74,5,0,140,50,130,2574,"otc,branded,essential",Nasal 5mg + Excipients,30031000,1880,X,Bayer India
Ombitasvir 637,MED33404,Bronchodilator,Drops,64.68,56.56,28,1,85,44,156,2802,"prescription,essential,branded",Ombitasvir 500mg + Excipients,30031000,9971,H,Sun Pharma
Lumefantrine 579,MED57943,Supplement,Patch,255.53,227.24,28,1,196,42,241,2988,"prescription,essential,otc",Lumefantrine 250mg + Excipients,30043100,9237,X,Torrent
Ombitasvir 729,MED27080,Supplement,Gel,417.55,354.92,18,0,103,43,399,2942,prescription,Ombitasvir 100mg + Excipients,30034000,9251,H1,Aurobindo
Domperidone 323,MED81307,Antibiotic,Inhaler,204.43,173.9,5,0,59,49,339,1614,generic,Domperidone 10mg + Excipients,30042000,7723,X,Abbott India
Oseltamivir 611ml,MED51630,Sedative,Tablet,130.6,121.1,12,0,123,12,324,3439,"essential,prescription",Oseltamivir 5mg + Excipients,30031000,7932,X,Bayer India
Alprazolam 113ml,MED38587,Antihistamine,Patch,100.03,85.65,12,0,180,25,332,4186,"essential,generic",Alprazolam 250mg + Excipients,30042000,2684,H,AstraZeneca India
Thyroxine 347ml,MED36802,Laxative,Patch,457.77,393.57,18,0,164,41,207,4275,generic,Thyroxine 5mg + Excipients,30043100,2869,H,Pfizer India
Lopinavir 825mg,MED15830,Vitamin,Cream,85.87,75.04,5,0,140,14,402,1564,otc,Lopinavir 500mg + Excipients,30032000,7094,H1,Abbott India
Ledipasvir 884mg,MED75257,Antiparasitic,Tablet,330.78,276.66,12,0,154,49,297,4782,generic,Ledipasvir 100mg + Excipients,30032000,7363,H1,Cadila
Famciclovir 171mg,MED43011,Antiviral,Ointment,136.12,124.36,28,1,195,49,311,2750,"otc,prescription",Famciclovir 100mg + Excipients,30034000,6089,None,Torrent
Bictegravir 171ml,MED69199,Antiemetic,Gel,302.58,249.45,18,0,133,42,258,1758,"prescription,essential",Bictegravir 500mg + Excipients,30039000,4908,H1,Merck India
Paritaprevir 459,MED74760,Laxative,Ointment,94.86,89.35,28,2,197,18,258,1620,otc,Paritaprevir 5mg + Excipients,30034000,2187,None,Boehringer Ingelheim India
Sofosbuvir 986ml,MED73746,Antidepressant,Ointment,56.92,49.29,5,0,60,10,308,2948,"otc,branded,prescription",Sofosbuvir 20mg + Excipients,30033900,9038,None,GSK India
Ranitidine 720,MED71539,Steroid,Cream,370.97,347.81,12,0,125,32,318,1496,"essential,generic,otc",Ranitidine 10mg + Excipients,30043900,9647,H1,Aurobindo
Velpatasvir 133,MED18869,Analgesic,Inhaler,348.06,315.5,18,0,158,39,225,4677,"prescription,otc",Velpatasvir 5mg + Excipients,30049000,1395,C,Aurobindo
Naproxen 995,MED59128,Antihistamine,Ointment,362.07,336.16,5,0,180,38,138,4983,"branded,generic",Naproxen 250mg + Excipients,30043900,7186,H1,Eli Lilly India
Prednisolone 587mg,MED28091,Antimalarial,Inhaler,31.28,27.12,28,0,83,18,463,1886,"prescription,generic,branded",Prednisolone 250mg + Excipients,30049000,2509,H,Eli Lilly India
Aspirin 525mg,MED83791,Sedative,Drops,357.57,324.75,5,0,54,43,431,2506,"otc,generic",Aspirin 5mg + Excipients,30041000,4078,X,Alkem
Pantoprazole 822,MED67814,Steroid,Patch,47.73,38.7,5,0,143,18,469,1746,"branded,otc",Pantoprazole 500mg + Excipients,30043100,8018,H,Aurobindo
Sulfadoxine 445ml,MED17410,Bronchodilator,Cream,359.03,327.02,28,1,177,36,469,2041,"branded,otc",Sulfadoxine 10mg + Excipients,30033900,5536,None,Novartis India
Atazanavir 607,MED81352,Antacid,Inhaler,204.39,188.84,12,0,60,25,113,4133,"otc,prescription,branded",Atazanavir 250mg + Excipients,30043900,6022,None,Eli Lilly India
Vitamin D 938mg,MED23600,Antifungal,Inhaler,328.29,311.7,12,0,167,50,104,1489,"essential,branded",Vitamin 20mg + Excipients,30031000,9711,H36.7sExpert
